Zyklusnummer;Charge;Werkzeugtemperatur;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Düsentemperatur
63;;33;20.0;8.122;27.425;45.894;;4.683;0.258;250.0
64;;33;20.0;8.123;27.465;45.909;;4.686;0.28;250.0
65;;33;20.0;8.122;27.489;45.921;;4.684;0.289;250.0
66;;33;20.0;8.125;27.496;45.925;;4.689;0.287;250.0
67;;33;20.0;8.12;27.482;45.911;;4.685;0.307;250.0
68;;33;20.0;8.121;27.43;45.902;;4.687;0.288;250.0
69;;33;20.0;8.124;27.448;45.896;;4.688;0.279;250.0
70;;33;20.0;8.123;27.434;45.934;;4.683;0.271;250.0
71;;33;20.0;8.123;27.485;45.911;;4.683;0.291;250.0
72;;33;20.0;8.12;27.434;45.907;;4.683;0.262;250.0
73;;33;20.0;8.122;27.44;45.923;;4.686;0.285;250.0
74;;33;20.0;8.125;27.437;45.92;;4.686;0.275;250.0
75;;33;20.0;8.121;27.438;45.919;;4.686;0.271;250.0
76;;33;20.0;8.125;27.454;45.908;;4.68;0.278;250.0
77;;33;20.0;8.122;27.435;45.904;;4.683;0.259;250.0
78;;33;20.0;8.123;27.427;45.908;;4.682;0.263;250.0
79;;33;20.0;8.126;27.438;45.894;;4.683;0.284;250.0
80;;33;20.0;8.12;27.417;45.904;;4.686;0.297;250.0
81;;35;20.0;8.127;27.46;45.909;;4.684;0.305;250.0
82;;35;20.0;8.126;27.44;45.909;;4.691;0.314;250.0
83;;35;20.0;8.123;27.448;45.926;;4.69;0.272;250.0
84;;35;20.0;8.12;27.451;45.893;;4.689;0.351;250.0
85;;35;20.0;8.124;27.447;45.92;;4.69;0.292;250.0
86;;35;20.0;8.121;27.448;45.898;;4.691;0.302;250.0
87;;35;20.0;8.122;27.437;45.931;;4.69;0.262;250.0
88;;35;20.0;8.121;27.456;45.909;;4.682;0.281;250.0
89;;35;20.0;8.124;27.425;45.928;;4.689;0.247;250.0
90;;35;20.0;8.121;27.439;45.925;;4.689;0.307;250.0
91;;35;20.0;8.124;27.455;45.919;;4.671;0.292;250.0
92;;35;20.0;8.123;27.442;45.916;;4.683;0.313;250.0
93;;35;20.0;8.122;27.441;45.923;;4.686;0.267;250.0
94;;35;20.0;8.125;27.447;45.934;;4.689;0.249;250.0
95;;35;20.0;8.125;27.45;45.904;;4.693;0.334;250.0
96;;35;20.0;8.122;27.457;45.896;;4.692;0.529;250.0
97;;35;20.0;8.128;27.458;45.93;;4.687;0.256;250.0
98;;35;20.0;8.128;27.438;45.921;;4.692;0.28;250.0
99;;35;20.0;8.125;27.459;45.945;;4.692;0.271;250.0
100;;35;20.0;8.125;27.443;45.932;;4.687;0.277;250.0
101;;35;20.0;8.124;27.431;45.888;;4.694;0.311;250.0
102;;35;20.0;8.126;27.458;45.918;;4.687;0.308;250.0
103;;35;20.0;8.126;27.455;45.893;;4.687;0.282;250.0
104;;35;20.0;8.127;27.435;45.929;;4.683;0.281;250.0
106;;35;20.0;8.127;27.429;45.897;;4.686;0.277;250.0
107;;35;20.0;8.124;27.435;45.916;;4.687;0.252;250.0
108;;35;20.0;8.128;27.431;45.919;;4.691;0.259;250.0
109;;35;20.0;8.127;27.457;45.912;;4.687;0.277;250.0
110;;35;20.0;8.126;27.422;45.877;;4.668;0.298;250.0
111;;38;20.0;-0.008;27.455;45.893;;4.684;0.263;250.0
112;;38;20.0;8.122;27.459;45.906;;4.689;0.292;250.0
113;;38;20.0;8.127;27.431;45.897;;4.688;0.307;250.0
114;;38;20.0;8.128;27.495;45.906;;4.689;0.252;250.0
115;;38;20.0;8.121;27.456;45.919;;4.694;0.311;250.0
116;;38;20.0;8.122;27.444;45.925;;4.691;0.324;250.0
117;;38;20.0;8.122;27.458;45.926;;4.691;0.377;250.0
118;;38;20.0;8.127;27.39;45.817;;4.688;0.25;250.0
119;;38;20.0;8.123;27.22;45.937;;4.675;0.289;250.0
120;;37;20.0;8.124;27.687;45.933;;4.681;0.239;250.0
121;;37;20.0;8.124;27.872;45.941;;4.684;0.22;250.0
122;;37;20.0;8.134;27.47;45.939;;4.686;0.268;250.0
123;;37;20.0;8.132;27.425;45.955;;4.685;0.267;250.0
124;;37;20.0;8.129;27.428;45.94;;4.687;0.21;250.0
125;;37;20.0;8.129;27.436;45.914;;4.688;0.29;250.0
126;;37;20.0;8.129;27.451;45.936;;4.688;0.281;250.0
127;;37;20.0;8.128;27.426;45.926;;4.689;0.308;250.0
128;;37;20.0;8.127;27.468;45.917;;4.682;0.257;250.0
129;;37;20.0;8.127;27.451;45.928;;4.693;0.315;250.0
130;;37;20.0;8.128;27.462;45.917;;4.694;0.291;250.0
131;;37;20.0;8.122;27.448;45.918;;4.694;0.281;250.0
132;;37;20.0;8.126;27.451;45.927;;4.694;0.259;250.0
133;;37;20.0;8.13;27.434;45.918;;4.692;0.265;250.0
134;;37;20.0;8.123;27.424;45.92;;4.694;0.292;250.0
135;;37;20.0;8.127;27.425;45.801;;4.692;0.246;250.0
136;;37;20.0;8.129;;;;;;250.0
137;;35;20.0;8.127;;;;;;250.0
138;;35;20.0;8.148;27.441;45.806;;4.684;0.49;250.0
139;;35;20.0;;28.688;45.88;;4.683;0.29;250.0
140;;35;20.0;;30.568;45.785;;4.683;0.532;250.0
141;;35;20.0;;;;;;;250.0
0;;35;20.0;;27.37;45.919;;4.685;0.326;250.0
40;;35;20.0;;27.429;45.891;;4.679;0.273;250.0
105;;35;20.0;;27.409;45.892;;4.687;0.273;250.0
