Zyklusnummer;Charge;Werkzeugtemperatur;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Düsentemperatur
1;;35;20.0;8.124;27.152;45.864;;4.682;0.321;250.0
2;;35;20.0;8.116;27.436;45.865;;4.681;0.333;250.0
3;;35;20.0;8.111;27.431;45.893;;4.685;0.28;250.0
4;;35;20.0;8.115;27.426;45.909;;4.687;0.288;250.0
5;;35;20.0;8.114;27.436;45.908;;4.685;0.276;250.0
6;;35;20.0;8.115;27.434;45.906;;4.688;0.357;250.0
7;;35;20.0;8.114;27.465;45.919;;4.681;0.256;250.0
8;;35;20.0;8.113;27.47;45.921;;4.69;0.279;250.0
9;;35;20.0;8.111;27.425;45.912;;4.685;0.272;250.0
10;;35;20.0;8.11;27.452;45.906;;4.687;0.349;250.0
11;;35;20.0;8.113;27.432;45.891;;4.683;0.244;250.0
12;;35;20.0;8.113;27.447;45.885;;4.684;0.29;250.0
13;;35;20.0;8.116;27.426;45.899;;4.684;0.278;250.0
14;;35;20.0;8.114;27.447;45.904;;4.684;0.292;250.0
15;;35;20.0;8.117;27.462;45.914;;4.683;0.282;250.0
16;;35;20.0;8.114;27.43;45.907;;4.685;0.271;250.0
17;;35;20.0;8.118;27.471;45.905;;4.682;0.302;250.0
18;;35;20.0;8.115;27.442;45.915;;4.686;0.262;250.0
19;;35;20.0;8.116;27.444;45.894;;4.684;0.262;250.0
20;;35;20.0;8.118;27.442;45.919;;4.687;0.324;250.0
21;;30;20.0;8.117;27.421;45.893;;4.687;0.32;250.0
22;;30;20.0;8.12;27.428;45.912;;4.687;0.27;250.0
23;;30;20.0;8.119;27.427;45.908;;4.687;0.275;250.0
24;;30;20.0;8.122;27.415;45.938;;4.686;0.286;250.0
25;;30;20.0;8.126;27.447;45.904;;4.688;0.544;250.0
26;;30;20.0;8.125;27.42;45.921;;4.688;0.276;250.0
27;;30;20.0;8.124;27.445;45.894;;4.684;0.281;250.0
28;;30;20.0;8.123;27.427;45.921;;4.684;0.26;250.0
29;;30;20.0;8.123;27.419;45.922;;4.686;0.275;250.0
30;;30;20.0;8.123;27.429;45.907;;4.686;0.273;250.0
31;;30;20.0;8.122;27.421;45.917;;4.686;0.295;250.0
32;;30;20.0;8.122;27.423;45.928;;4.684;0.28;250.0
33;;30;20.0;8.124;27.404;45.916;;4.689;0.275;250.0
34;;30;20.0;8.122;27.425;45.918;;4.687;0.267;250.0
35;;30;20.0;8.118;27.474;45.919;;4.682;0.275;250.0
36;;30;20.0;8.119;27.417;45.926;;4.681;0.271;250.0
37;;30;20.0;8.119;27.427;45.922;;4.683;0.276;250.0
38;;30;20.0;8.119;27.428;45.912;;4.681;0.264;250.0
39;;30;20.0;8.122;27.432;45.911;;4.678;0.28;250.0
41;;30;20.0;8.117;27.433;45.906;;4.68;0.292;250.0
42;;30;20.0;8.122;27.43;45.914;;4.68;0.271;250.0
43;;30;20.0;8.12;27.425;45.905;;4.685;0.305;250.0
44;;30;20.0;8.119;27.43;45.925;;4.684;0.276;250.0
45;;30;20.0;8.121;27.434;45.924;;4.677;0.289;250.0
46;;30;20.0;8.12;27.416;45.922;;4.681;0.278;250.0
47;;30;20.0;8.119;27.411;45.917;;4.689;0.292;250.0
48;;30;20.0;8.122;27.436;45.924;;4.685;0.286;250.0
49;;30;20.0;8.12;27.452;45.929;;4.684;0.292;250.0
50;;30;20.0;8.113;27.412;45.928;;4.681;0.266;250.0
51;;33;20.0;8.114;27.491;45.914;;4.682;0.272;250.0
52;;33;20.0;8.121;27.448;45.912;;4.682;0.261;250.0
53;;33;20.0;8.098;27.42;45.921;;4.687;0.259;250.0
54;;33;20.0;8.12;27.419;45.917;;4.682;0.264;250.0
55;;33;20.0;8.116;27.441;45.91;;4.689;0.268;250.0
56;;33;20.0;8.121;27.451;45.918;;4.686;0.248;250.0
57;;33;20.0;8.119;27.439;45.926;;4.683;0.3;250.0
58;;33;20.0;8.117;27.444;45.922;;4.685;0.282;250.0
59;;33;20.0;8.12;27.433;45.914;;4.687;0.272;250.0
60;;33;20.0;8.121;27.477;45.924;;4.668;0.287;250.0
61;;33;20.0;8.12;27.409;45.832;;4.673;0.286;250.0
62;;33;20.0;8.122;27.409;45.865;;4.682;0.256;250.0
