+8,164
+8,154
+8,147
+8,129
+8,136
+8,145
+8,144
+8,141
+8,135
+8,136
+8,103
+8,101
+8,104
+8,101
+8,100
+8,104
+8,105
+8,097
+8,097
+8,099
+8,141
+8,125
+8,133
+8,130
+8,130
+8,130
+8,132
+8,131
+8,130
+8,127
+8,101
+8,098
+8,100
+8,095
+8,098
+8,098
+8,095
+8,096
+8,098
+8,097
+8,144
+8,133
+8,128
+8,126
+8,131
+8,124
+8,136
+8,135
+8,133
+8,138
+8,093
+8,100
+8,102
+8,097
+8,097
+8,094
+8,096
+8,101
+8,100
+8,097
+8,135
+8,131
+8,137
+8,131
+8,130
+8,133
+8,134
+8,129
+8,135
+8,134
+8,103
+8,106
+8,102
+8,100
+8,101
+8,100
+8,099
+8,096
+8,101
+8,104
+8,146
+8,120
+8,117
+8,120
+8,121
+8,115
+8,123
+8,124
+8,121
+8,159
+8,151
+8,149
+8,150
+8,157
+8,166
+8,159
+8,155
+8,153
+8,164
+8,141
+8,135
+8,129
+8,128
+8,129
+8,129
+8,129
+8,129
+8,128
+8,128
+8,167
+8,161
+8,160
+8,158
+8,158
+8,164
+8,160
+8,161
+8,161
+8,163
+8,174
+8,155
+8,146
+8,138
+8,139
+8,138
+8,135
+8,136
+8,137
+8,134
+8,134
+8,144
+8,142
+8,135
+8,133
+8,136
+8,129
+8,133
+8,134
+8,134
+8,134
+8,166
+8,159
+8,158
+8,157
+8,159
+8,159
+8,159
+8,158
+8,158
+8,157
+8,178
+8,170
+8,171
+8,166
+8,168
+8,164
+8,163
+8,164
+8,160
+8,146
+8,156
+8,142
+8,139
+8,125
+8,129
+8,130
+8,131
+8,131
+8,109
+8,110
+8,134
+8,148
+8,132
+8,132
+8,122
+8,126
+8,126
+8,122
+8,125
+8,123
+8,154
+8,131
+8,135
+8,134
+8,135
+8,138
+8,137
+8,139
+8,138
+8,139
+8,169
+8,150
+8,146
+8,144
+8,142
+8,140
+8,137
+8,138
+8,138
+8,137
+8,132
+8,128
+8,126
+8,124
+8,120
+8,125
+8,128
+8,122
+8,127
+8,122
+8,125
+8,143
+8,136
+8,137
+8,131
+8,139
+8,134
+8,137
+8,134
+8,135
+8,138
+8,132
-0,002
+8,137
+8,131
+8,132
+8,134
+8,132
+8,131
+8,133
+8,135
+8,161
+8,161
+8,159
+8,152
+8,156
+8,149
+8,156
+8,156
+8,153
+8,156
+8,130
+8,128
+8,124
+8,121
+8,122
+8,109
+8,120
+8,118
+8,122
+8,122
