;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 12:00:52;;0072;Fehler;;1;28,460;45,882;;4,669;0,328
;04.05.2022 12:01:19;;0073;Fehler;;1;27,817;45,909;;4,652;0,260
;04.05.2022 12:01:46;;0074;Fehler;;1;26,908;45,944;;4,649;0,306
;04.05.2022 12:02:19;;0075;Fehler;;1;27,874;45,943;;4,677;0,280
;04.05.2022 12:02:54;;0076;Fehler;;1;27,353;45,944;;4,674;0,264
;04.05.2022 12:03:35;;0077;Fehler;;1;27,663;45,931;;4,655;0,290
;04.05.2022 12:04:06;;0078;Fehler;;1;27,472;45,935;;4,674;0,292
;04.05.2022 12:04:46;;0079;Fehler;;1;27,499;45,924;;4,680;0,248
;04.05.2022 12:05:18;;0080;Fehler;;1;27,122;45,940;;4,680;0,258
;04.05.2022 12:13:22;;0081;Fehler;;1;27,528;45,954;;4,690;0,319
;04.05.2022 12:13:58;;0082;Fehler;;1;28,019;45,945;;4,664;0,205
;04.05.2022 12:14:28;;0083;Fehler;;1;27,846;45,948;;4,681;0,298
;04.05.2022 12:15:03;;0084;Fehler;;1;27,489;45,968;;4,690;0,271
;04.05.2022 12:15:37;;0085;Fehler;;1;27,452;45,954;;4,693;0,242
;04.05.2022 12:16:13;;0086;Fehler;;1;27,551;45,958;;4,692;0,276
;04.05.2022 12:16:55;;0087;Fehler;;1;27,488;45,937;;4,691;0,245
;04.05.2022 12:17:33;;0088;Fehler;;1;27,413;45,945;;4,670;0,231
;04.05.2022 12:18:07;;0089;Fehler;;1;27,465;45,936;;4,692;0,284
;04.05.2022 12:18:46;;0090;Fehler;;1;27,599;45,933;;4,692;0,226
;04.05.2022 12:19:42;;0091;Fehler;;1;27,442;45,955;;4,696;0,310
;04.05.2022 12:20:16;;0092;Fehler;;1;27,518;45,977;;4,696;0,327
;04.05.2022 12:21:54;;0093;Fehler;;1;27,512;45,887;;4,701;0,424
;04.05.2022 12:22:11;;0094;Fehler;;1;27,511;45,886;;4,699;0,423
;04.05.2022 12:24:12;;0095;Fehler;;1;27,514;45,833;;4,688;0,252
;04.05.2022 12:26:07;;0096;Fehler;;1;27,515;45,958;;4,700;0,312
;04.05.2022 12:27:07;;0097;Fehler;;1;27,046;45,948;;4,697;0,290
;04.05.2022 12:27:50;;0098;Fehler;;1;27,479;45,966;;4,697;0,222
;04.05.2022 12:30:33;;0099;Fehler;;1;27,327;45,773;;4,690;0,317
;04.05.2022 12:31:11;;0100;Fehler;;1;27,283;45,964;;4,681;0,293
;04.05.2022 12:32:13;;0101;Fehler;;1;27,229;45,930;;4,686;0,245
;04.05.2022 12:32:46;;0102;Fehler;;1;27,379;45,938;;4,686;0,336
;04.05.2022 12:33:19;;0103;Fehler;;1;27,942;45,923;;4,690;0,271
;04.05.2022 12:33:53;;0104;Fehler;;1;27,567;45,939;;4,688;0,284
;04.05.2022 12:34:29;;0105;Fehler;;1;27,487;45,935;;4,689;0,262
;04.05.2022 12:35:04;;0106;Fehler;;1;27,489;45,935;;4,685;0,331
;04.05.2022 12:35:42;;0107;Fehler;;1;27,486;45,919;;4,661;0,282
;04.05.2022 12:36:14;;0108;Fehler;;1;27,491;45,921;;4,687;0,261
;04.05.2022 12:37:09;;0109;Fehler;;1;27,488;45,913;;4,686;0,238
;04.05.2022 12:37:29;;0110;Fehler;;1;27,488;45,933;;4,684;0,267
;04.05.2022 12:38:23;;0111;Fehler;;1;27,290;45,986;;4,699;0,229
;04.05.2022 12:38:55;;0112;Fehler;;1;27,487;45,965;;4,710;0,326
;04.05.2022 12:39:30;;0113;Fehler;;1;27,480;45,949;;4,706;0,310
;04.05.2022 12:40:10;;0114;Fehler;;1;27,470;45,955;;4,703;0,298
;04.05.2022 12:40:46;;0115;Fehler;;1;27,444;45,945;;4,704;0,271
;04.05.2022 12:41:18;;0116;Fehler;;1;27,494;45,952;;4,706;0,240
;04.05.2022 12:41:54;;0117;Fehler;;1;27,451;45,921;;4,706;0,326
;04.05.2022 12:42:29;;0118;Fehler;;1;27,450;45,938;;4,704;0,260
;04.05.2022 12:44:16;;0119;Fehler;;1;27,443;45,790;;4,700;0,295
;04.05.2022 12:45:20;;0120;Fehler;;1;27,056;45,926;;4,690;0,444
;04.05.2022 12:46:52;;0121;Fehler;;1;38,725;45,948;;4,689;0,343
;04.05.2022 12:47:27;;0122;Fehler;;1;23,247;45,950;;4,689;0,316
;04.05.2022 12:48:02;;0123;Fehler;;1;27,485;45,974;;4,692;0,320
;04.05.2022 12:48:40;;0124;Fehler;;1;27,470;45,951;;4,691;0,320
;04.05.2022 12:49:13;;0125;Fehler;;1;27,444;45,918;;4,689;0,316
;04.05.2022 12:49:50;;0126;Fehler;;1;27,449;45,953;;4,700;0,316
;04.05.2022 12:50:22;;0127;Fehler;;1;27,470;45,956;;4,732;0,311
;04.05.2022 12:50:55;;0128;Fehler;;1;27,306;45,945;;4,694;0,307
;04.05.2022 12:51:32;;0129;Fehler;;1;27,543;45,928;;4,694;0,320
