Charge;Nummer;Mittenrauwert;Quadratischer Mittelwert;Rautiefe;Höhe;Breite;E-Modul;Zugfestigkeit;Dehnung bei Zugfestigkeit;Maximalspannung;Bruchspannung;Maximalkraft;Dehnung bei Maximalspannung;Bruchdehnung;Anfangsfläche;Angaben zum Bruch
-;-;Ra;Rq;Rz;h;b;Et;sY;eY;sM;sB;FM;eM;eB;A0;-
-;-;-;-;-;mm;mm;MPa;MPa;%;MPa;MPa;N;%;%;mm²;-
9;106;0.080;0.114;0.788;4;9.59;2419.91843;66.8466833;4.08277893;66.8466833;43.4710903;2564.23877;4.08277893;42.5829537;38.36;break
9;107;0.019;0.023;0.142;4.05;9.64;2359.30605;66.1824576;4.07527065;66.1824576;43.2769305;2583.89551;4.07527065;57.4625732;39.042;break
9;108;0.137;0.192;1.237;4.04;9.65;2437.76167;66.0639296;4.05481005;66.0639296;42.6729958;2575.56836;4.05481005;57.2660139;38.986;break
9;109;0.171;0.233;1.555;4.04;9.66;2414.73046;66.1933232;4.07865906;66.1933232;40.2301103;2583.28711;4.07865906;37.4318495;39.0264;break
9;110;0.137;0.179;1.121;4.04;9.64;2364.43125;65.9141511;4.03458214;65.9141511;43.393367;2567.06616;4.03458214;80.2181747;38.9456;break
9;112;0.179;0.237;1.391;4.03;9.66;2403.16721;65.8435974;3.99528217;65.8435974;39.6392342;2563.27808;3.99528217;35.1108011;38.9298;break
9;113;0.440;0.595;3.325;4.04;9.65;2340.68333;65.6365864;4.02167797;65.6365864;36.2695209;2558.90796;4.02167797;16.991026;38.986;break
9;114;0.095;0.128;0.835;4.02;9.66;2296.51785;66.4477411;4.11077881;66.4477411;41.6181487;2580.37842;4.11077881;40.4006787;38.8332;break
10;115;0.159;0.230;1.876;4.04;9.67;2317.21576;66.5711843;4.14125299;66.5711843;42.0716313;2600.72314;4.14125299;44.2310731;39.0668;break
10;116;0.233;0.341;1.730;4.02;9.64;2417.02723;66.0968243;4.02766991;66.0968243;37.9829157;2561.43701;4.02766991;24.8512821;38.7528;break
10;117;0.652;0.972;3.919;4.04;9.66;2435.70355;66.2181837;4.12872648;66.2181837;43.4779681;2584.25732;4.12872648;36.5443984;39.0264;break
10;118;0.174;0.223;1.086;4.03;9.66;2441.7712;66.7005836;4.09601164;66.7005836;49.2854191;2596.64038;4.09601164;14.7522825;38.9298;break
10;119;0.126;0.167;0.885;4.01;9.63;2388.62697;67.263444;4.11597347;67.263444;42.1881566;2597.46533;4.11597347;49.7122813;38.6163;break
10;120;0.802;0.975;2.838;4.03;9.65;2414.19974;66.2632793;4.11534214;66.2632793;42.6282074;2576.9458;4.11534214;67.6379921;38.8895;break
10;121;0.113;0.152;0.965;4.04;9.65;2296.50859;66.6456689;4.09390306;66.6456689;41.388809;2598.24805;4.09390306;53.952813;38.986;break
10;122;0.600;0.839;3.761;4.03;9.66;2389.26611;66.7827252;4.09258556;66.7827252;42.5578428;2599.83813;4.09258556;53.437013;38.9298;break
10;123;0.654;0.895;4.081;4.03;9.65;2420.43331;66.5978925;4.08961296;66.5978925;40.9673864;2589.95874;4.08961296;48.6098591;38.8895;break
10;124;0.104;0.140;0.824;4.03;9.64;2404.02053;66.6048193;4.09844637;66.6048193;42.5417484;2587.54395;4.09844637;41.8745825;38.8492;break
11;125;0.163;0.219;1.367;4.03;9.65;2298.09437;66.863092;4.15121746;66.863092;42.3663665;2600.27222;4.15121746;42.8419366;38.8895;break
11;126;0.118;0.157;0.886;4.04;9.66;2325.38916;66.7590273;4.10784578;66.7590273;42.4561675;2605.3645;4.10784578;40.623809;39.0264;break
11;127;1.203;1.524;5.340;4.04;9.66;2335.63925;66.7995147;4.10023737;66.7995147;42.8662403;2606.94458;4.10023737;47.8526967;39.0264;break
11;128;1.488;1.933;8.348;4.01;9.64;2380.57421;67.2672208;4.05456734;67.2672208;43.1936891;2600.30859;4.05456734;49.3001703;38.6564;break
11;129;0.118;0.150;0.888;4.01;9.64;2375.79638;67.138615;4.06394768;67.138615;43.5122288;2595.33716;4.06394768;40.1463211;38.6564;break
11;130;1.105;1.400;4.497;4.04;9.65;2402.67955;66.7193194;4.06088734;66.7193194;41.4876338;2601.11938;4.06088734;32.3935003;38.986;break
11;131;0.137;0.179;1.000;4.04;9.67;2445.48666;66.4275064;4.05252743;66.4275064;43.177447;2595.11011;4.05252743;47.8772563;39.0668;break
11;132;0.174;0.235;1.136;4.04;9.67;2332.23935;66.354202;4.1344986;66.354202;42.6945721;2592.24634;4.1344986;37.477938;39.0668;break
11;133;0.178;0.255;1.452;4.02;9.66;2371.81408;67.0198871;4.04520988;67.0198871;41.1464203;2602.59668;4.04520988;34.3643538;38.8332;break
11;134;0.213;0.285;1.753;4.03;9.65;2333.41491;66.7136175;4.09865141;66.7136175;41.4128279;2594.45923;4.09865141;44.2151106;38.8895;break
12;135;0.085;0.124;1.041;4.02;9.64;2358.97693;66.6479878;4.08804464;66.6479878;42.5814179;2582.79614;4.08804464;55.2962477;38.7528;break
12;136;0.129;0.168;1.139;4.03;9.66;2353.12964;66.206963;4.11905575;66.206963;39.8822065;2577.42383;4.11905575;33.2276102;38.9298;break
12;137;0.125;0.157;0.840;4.04;9.67;2439.2749;65.4217609;4.04791927;65.4217609;38.3010307;2555.81885;4.04791927;21.3562725;39.0668;break
12;138;0.150;0.193;0.954;4.02;9.66;2349.82998;66.5192169;4.11603546;66.5192169;40.8948341;2583.15405;4.11603546;42.4910435;38.8332;break
12;139;0.459;0.569;2.197;4.03;9.66;2340.00447;66.314334;4.10110331;66.314334;42.3383817;2581.60376;4.10110331;55.0436921;38.9298;break
12;140;0.153;0.194;1.102;4.04;9.67;2324.06679;65.3982885;4.07738113;65.3982885;41.9252661;2554.90186;4.07738113;46.4335355;39.0668;break
12;141;0.163;0.215;1.474;4.04;9.67;2297.07561;66.2822786;4.12811756;66.2822786;65.0679436;2589.43652;4.12811756;5.26184316;39.0668;break
12;142;0.167;0.239;1.194;4.03;9.67;2404.13406;66.447559;4.10231924;66.447559;44.3368637;2589.46802;4.10231924;67.3117046;38.9701;break
12;143;0.056;0.072;0.423;4.03;9.65;2391.69127;66.0883672;4.11901331;66.0883672;37.1720275;2570.14355;4.11901331;27.0734176;38.8895;break
12;144;0.115;0.125;0.563;4.02;9.66;2379.92933;66.8945828;4.09018469;66.8945828;42.2524408;2597.73071;4.09018469;40.0781935;38.8332;break
13;151;0.102;0.129;0.732;4.04;9.65;2329.40484;67.083182;4.11633635;67.083182;36.7938039;2615.30493;4.11633635;37.2632818;38.986;break
13;152;0.116;0.143;0.756;4.03;9.65;2373.29038;67.0553309;4.11752558;67.0553309;42.6228744;2607.74829;4.11752558;44.5520113;38.8895;break
13;153;1.124;1.673;5.529;4.05;9.65;2332.45485;;;66.2735742;65.1999614;2590.13696;4.10826969;4.39996433;39.0825;break
13;154;0.174;0.222;1.198;4.04;9.66;2390.63408;66.549321;4.1234746;66.549321;42.7997319;2597.18042;4.1234746;63.9370237;39.0264;break
13;155;0.880;1.146;4.656;4.03;9.63;2373.64633;66.186682;4.14381981;66.186682;41.7350789;2568.63232;4.14381981;52.8969462;38.8089;break
13;156;0.869;1.171;3.729;4.05;9.65;2340.00408;65.9283759;4.16749287;65.9283759;42.318611;2576.64575;4.16749287;44.5112123;39.0825;break
13;157;0.228;0.283;1.222;4.02;9.64;2343.68509;67.0639734;4.09556961;67.0639734;43.0445365;2598.91675;4.09556961;54.4969612;38.7528;break
13;158;0.113;0.142;0.765;4.03;9.65;2392.20886;66.8909027;4.15160656;66.8909027;41.784072;2601.35376;4.15160656;40.6159898;38.8895;break
13;159;0.977;1.330;5.121;4.02;9.63;2393.20005;66.876385;4.15784979;66.876385;62.6228656;2588.95874;4.15784979;5.77328201;38.7126;break
13;160;0.899;0.124;0.467;4.02;9.63;2383.92887;67.0779341;4.13839388;67.0779341;45.3714085;2596.76123;4.13839388;65.9997764;38.7126;break
14;161;0.085;0.109;0.490;4.04;9.66;2336.80744;66.5022087;4.1289196;66.5022087;42.7258949;2595.3418;4.1289196;63.7696799;39.0264;break
14;162;0.083;0.107;0.432;4.03;9.65;2319.88462;;;66.2757345;56.5703199;2577.43018;4.16607714;4.18718767;38.8895;break
14;163;0.149;0.193;1.013;4.05;9.65;2335.31254;;;54.9011594;53.9241596;2145.67456;2.50294089;2.5074079;39.0825;break
14;164;0.275;0.367;1.282;4.04;9.66;2310.91916;66.3227115;4.08757639;66.3227115;41.5611904;2588.33667;4.08757639;29.2317102;39.0264;break
14;165;0.106;0.131;0.667;4.04;9.66;2329.55848;;;64.1074706;63.9610352;2501.88379;3.32126999;3.32551956;39.0264;break
14;166;0.119;0.154;0.845;4.03;9.65;2334.87124;66.7175411;4.14512253;66.7175411;39.0645434;2594.61182;4.14512253;63.4557502;38.8895;break
14;167;0.074;0.091;0.472;4.04;9.66;2309.26777;65.8517701;4.16245794;65.8517701;40.1931887;2569.95752;4.16245794;38.5858229;39.0264;break
14;168;0.438;0.590;2.035;4.02;9.59;2378.4147;67.0144351;4.16991711;67.0144351;44.7899775;2583.5271;4.16991711;43.3510488;38.5518;break
14;169;0.278;0.402;1.252;4.04;9.64;2254.50155;66.6221135;4.16488314;66.6221135;40.5298381;2594.63818;4.16488314;39.0249624;38.9456;break
14;170;0.359;0.525;1.676;4.04;9.66;2354.48198;66.5057369;4.11952591;66.5057369;38.7524291;2595.47949;4.11952591;27.9676503;39.0264;break
15;171;1.026;1.333;3.593;4.04;9.64;2337.04503;66.6508808;4.14542437;66.6508808;41.9872089;2595.75854;4.14542437;62.1745448;38.9456;break
15;172;0.105;0.134;0.827;4.05;9.64;2327.74553;65.8260017;4.13683987;65.8260017;38.4335355;2569.97876;4.13683987;19.6592733;39.042;break
15;173;0.071;0.094;0.572;4.03;9.66;2375.2168;66.0704492;4.13477516;66.0704492;36.6057635;2572.10938;4.13477516;41.3594065;38.9298;break
15;174;0.152;0.198;1.109;4.03;9.65;2346.09566;66.2659034;4.13176489;66.2659034;42.7561208;2577.04785;4.13176489;48.6928436;38.8895;break
15;175;0.099;0.122;0.571;4.03;9.62;2346.91364;66.1192078;4.11892986;66.1192078;42.4994213;2563.34912;4.11892986;40.7980294;38.7686;break
15;176;0.106;0.132;0.746;4.04;9.64;2301.84862;65.3933237;4.11231613;65.3933237;41.2350485;2546.78223;4.11231613;47.5485658;38.9456;break
15;177;0.105;0.132;0.734;4.04;9.64;2385.97511;65.6699891;4.08981085;65.6699891;40.6318653;2557.55713;4.08981085;28.6401068;38.9456;break
15;178;1.105;1.439;4.872;4.03;9.63;2327.1834;66.5722854;4.14531898;66.5722854;40.8356522;2583.59717;4.14531898;35.4219097;38.8089;break
15;180;0.100;0.127;0.545;4.04;9.65;2343.09545;;;62.5021542;61.4227904;2436.70898;3.10483003;3.10922456;38.986;break
15;181;0.087;0.106;0.416;4.05;9.66;2260.71789;63.387644;3.38590765;63.387644;18.9191355;2479.91479;3.38590765;3.21947891;39.123;break
16;182;1.233;1.643;5.012;4.04;9.64;2236.01181;;;57.6468789;57.6313323;2245.09229;2.69041657;2.69530702;38.9456;break
16;183;1.061;1.409;4.054;4.02;9.64;2359.75894;66.7020225;4.10870504;66.7020225;43.6210258;2584.89014;4.10870504;39.3215432;38.7528;break
16;184;0.502;0.553;3.562;4.02;9.63;2309.34477;66.4669172;4.12412262;66.4669172;42.0435021;2573.10718;4.12412262;49.6134404;38.7126;break
16;185;0.305;0.443;1.477;4.04;9.66;2346.81843;66.77548;4.13136244;66.77548;64.0512373;2606.00659;4.13136244;6.03115741;39.0264;break
16;186;0.099;0.121;0.640;4.04;9.65;2285.82567;66.7659544;4.13607025;66.7659544;42.8234467;2602.9375;4.13607025;50.9538576;38.986;break
16;187;0.081;0.103;0.506;4.05;9.64;2310.50068;66.6902115;4.12253714;66.6902115;40.7211048;2603.71924;4.12253714;50.214962;39.042;break
16;188;0.243;0.306;1.154;4.05;9.66;2331.25979;65.8994162;4.14646149;65.8994162;36.9884092;2578.18286;4.14646149;28.2549299;39.123;break
16;189;0.374;0.527;1.656;4.05;9.64;2333.53584;66.4782315;4.11312437;66.4782315;39.2119347;2595.44312;4.11312437;44.3911367;39.042;break
16;190;0.363;0.530;1.974;4.03;9.63;2323.75042;;;65.0029156;64.5629593;2522.69165;3.3393178;3.34348345;38.8089;break
16;191;0.082;0.103;0.537;4.04;9.64;2389.01777;;;60.3485264;59.7147297;2350.30957;2.83941031;2.84401083;38.9456;break
17;201;0.108;0.142;0.682;4.02;9.65;2408.54768;67.4023032;4.07772112;67.4023032;43.5074824;2614.73755;4.07772112;53.5691928;38.793;break
17;202;0.065;0.091;0.613;4.02;9.63;2340.66483;67.4645345;4.11298609;67.4645345;43.5619977;2611.72754;4.11298609;59.6572462;38.7126;break
17;203;0.405;0.553;0.712;4.03;9.65;2402.33299;66.9447662;4.0377841;66.9447662;43.3060846;2603.44849;4.0377841;34.6876215;38.8895;break
17;204;0.078;0.099;0.604;4.04;9.63;2374.71329;66.8526827;4.09839582;66.8526827;42.9312101;2600.91699;4.09839582;46.8250964;38.9052;break
17;205;0.208;0.313;1.279;4.03;9.63;2379.04289;66.6776633;4.13436174;66.6776633;36.5385202;2587.68677;4.13436174;29.8413894;38.8089;break
