Charge;Nummer;Mittenrauwert;Quadratischer Mittelwert;Rautiefe;Höhe;Breite;E-Modul;Zugfestigkeit;Dehnung bei Zugfestigkeit;Maximalspannung;Bruchspannung;Maximalkraft;Dehnung bei Maximalspannung;Bruchdehnung;Anfangsfläche;Angaben zum Bruch
-;-;Ra;Rq;Rz;h;b;Et;sY;eY;sM;sB;FM;eM;eB;A0;-
-;-;-;-;-;mm;mm;MPa;MPa;%;MPa;MPa;N;%;%;mm²;-
22;284;0.214;0.270;1.353;4.04;9.64;2454.88659;;;61.528376;60.3109828;2396.25952;2.9769516;2.98169708;38.9456;break
22;285;0.137;0.175;1.049;4.04;9.64;2454.4377;66.7416713;4.17371321;66.7416713;41.9804856;2599.29443;4.17371321;43.4027473;38.9456;break
22;286;0.152;0.189;1.023;4.03;9.6;2487.74035;67.4630316;4.14831734;67.4630316;38.5118395;2610.00977;4.14831734;46.5850621;38.688;break
22;287;0.909;1.252;1.200;4.04;9.63;2442.54287;67.3377485;4.20706081;67.3377485;43.6332967;2619.78857;4.20706081;52.4990645;38.9052;break
22;288;0.121;0.151;0.824;4.04;9.64;2469.52663;66.8639184;4.13832998;66.8639184;41.8056405;2604.05542;4.13832998;41.946045;38.9456;break
22;289;0.212;0.340;2.544;4.03;9.62;2477.3163;67.5974738;4.15203762;67.5974738;40.7755796;2620.65942;4.15203762;43.0697304;38.7686;break
22;290;0.109;0.140;0.905;4.03;9.61;2476.01465;67.2880341;4.11780787;67.2880341;42.9542396;2605.95117;4.11780787;51.4588478;38.7283;break
22;291;0.207;0.292;1.814;4.04;9.64;2450.74272;66.9446161;4.11890411;66.9446161;41.3378875;2607.19824;4.11890411;39.2418173;38.9456;break
22;292;0.195;0.273;1.624;4.04;9.63;2466.97216;67.0796718;4.1319418;67.0796718;42.7282114;2609.74805;4.1319418;49.8798479;38.9052;break
23;293;0.142;0.193;1.333;4.05;9.65;2435.62808;65.9084549;4.07805204;65.9084549;36.9513434;2575.86719;4.07805204;35.6789273;39.0825;break
23;294;0.159;0.167;1.637;4.04;9.6;2429.71686;66.8493151;4.11033106;66.8493151;41.9040214;2592.68384;4.11033106;40.0248156;38.784;break
23;295;0.171;0.226;1.084;4.04;9.64;2446.998;66.6724078;4.10863495;66.6724078;41.8824641;2596.59692;4.10863495;60.7995139;38.9456;break
23;296;0.227;0.303;1.246;4.04;9.64;2452.27188;67.0005272;4.1063242;67.0005272;39.2713751;2609.37573;4.1063242;66.7429782;38.9456;break
23;297;0.579;0.703;2.610;4.04;9.63;2459.96908;66.2758913;4.07251644;66.2758913;41.0115674;2578.47681;4.07251644;66.4609023;38.9052;break
23;298;0.273;0.402;1.374;4.04;9.63;2456.74953;67.057564;4.03926802;67.057564;40.4481549;2608.88794;4.03926802;29.9348539;38.9052;break
23;299;0.125;0.167;1.052;4.03;9.61;2468.153;67.4454496;4.13615417;67.4454496;42.5744276;2612.04761;4.13615417;49.3330479;38.7283;break
23;300;0.582;0.897;3.609;4.04;9.6;2440.94827;67.297435;4.16905689;67.297435;42.298361;2610.06372;4.16905689;41.5219679;38.784;break
23;301;1.111;1.316;4.028;4.05;9.61;2464.70895;67.2610323;4.13800955;67.2610323;41.6658888;2617.83301;4.13800955;48.2312119;38.9205;break
23;302;0.114;0.143;0.759;4.03;9.6;2487.05229;67.6074411;4.1414423;67.6074411;40.5115612;2615.59668;4.1414423;43.1593845;38.688;break
23;303;0.097;0.139;0.993;4.03;9.62;2477.89824;67.6571604;4.10532141;67.6571604;45.2429791;2622.97339;4.10532141;80.9149401;38.7686;break
23;304;0.119;0.156;0.982;4.04;9.62;2464.78601;66.8793155;4.10420179;66.8793155;42.3009747;2599.25122;4.10420179;38.1665937;38.8648;break
23;305;0.133;0.233;1.472;4.04;9.61;2487.00843;67.645549;4.08666182;67.645549;46.4702781;2626.29785;4.08666182;75.0350103;38.8244;break
24;306;0.223;0.358;1.542;4.04;9.6;2451.58464;67.3487131;4.15385056;67.3487131;42.1039972;2612.05249;4.15385056;56.1911384;38.784;break
24;307;0.147;0.188;0.996;4.04;9.61;2421.1799;67.4880263;4.13453579;67.4880263;42.2751101;2620.18213;4.13453579;46.2002147;38.8244;break
24;308;0.133;0.167;1.002;4.04;9.63;2425.05046;67.2654951;4.14542675;67.2654951;41.2718154;2616.97754;4.14542675;60.2708829;38.9052;break
24;309;0.136;0.172;1.003;4.04;9.64;2451.38611;66.8218237;4.09674168;66.8218237;44.0424031;2602.41602;4.09674168;48.9307959;38.9456;break
24;310;1.228;1.597;5.305;4.03;9.63;2417.99964;67.4296138;4.14378738;67.4296138;43.6678204;2616.86914;4.14378738;49.2247345;38.8089;break
24;311;0.074;0.092;0.476;4.03;9.63;2451.67932;67.5053807;4.12089443;67.5053807;44.5504065;2619.80957;4.12089443;44.9009603;38.8089;break
24;312;0.111;0.142;0.795;4.03;9.63;2461.5971;67.360597;4.1300559;67.360597;44.687962;2614.19067;4.1300559;78.900272;38.8089;break
24;313;0.126;0.163;0.933;4.04;9.6;2407.44542;67.2215125;4.11334658;67.2215125;38.5060483;2607.11914;4.11334658;32.5856743;38.784;break
24;314;0.125;0.169;0.760;4.04;9.64;2458.09465;67.3140342;4.10480976;67.3140342;46.7895461;2621.58545;4.10480976;60.5974524;38.9456;break
24;315;0.111;0.141;0.757;4.02;9.6;2496.02904;67.7627956;4.05672407;67.7627956;43.8662445;2615.10181;4.05672407;51.3879278;38.592;break
25;316;0.143;0.187;1.078;4.04;9.61;2432.23207;67.1908524;4.15337563;67.1908524;43.198435;2608.64453;4.15337563;48.2474259;38.8244;break
25;317;0.087;0.114;0.672;4.04;9.6;2449.21575;67.141876;4.10875893;67.141876;42.53333;2604.03052;4.10875893;54.1925227;38.784;break
25;318;0.092;0.123;0.510;4.02;9.63;2459.70679;67.6199075;4.11016083;67.6199075;40.4886213;2617.74243;4.11016083;35.0841286;38.7126;break
25;320;0.109;0.138;0.837;4.04;9.62;2393.70767;67.1554066;4.12199402;67.1554066;38.7375114;2609.98145;4.12199402;29.1421733;38.8648;break
25;321;0.119;0.149;0.871;4.03;9.61;2457.55875;67.4660446;4.09931374;67.4660446;45.2121352;2612.84521;4.09931374;56.1510769;38.7283;break
25;322;0.138;0.253;1.929;4.04;9.6;2454.39241;67.5430864;4.09939289;67.5430864;43.8906226;2619.59106;4.09939289;65.9539536;38.784;break
25;323;0.116;0.148;0.860;4.03;9.59;2472.13543;67.598868;4.10915899;67.598868;39.7695076;2612.54077;4.10915899;41.3036341;38.6477;break
25;324;0.129;0.161;0.858;4.04;9.62;2461.46119;67.377424;4.15709257;67.377424;43.4574276;2618.61011;4.15709257;52.5919869;38.8648;break
25;325;0.119;0.150;0.805;4.04;9.63;2485.41319;67.4512744;4.09435415;67.4512744;41.0115047;2624.20532;4.09435415;45.0296083;38.9052;break
25;326;0.107;0.137;0.804;4.03;9.61;2484.68453;67.6733557;4.12600613;67.6733557;41.4267902;2620.87402;4.12600613;37.262647;38.7283;break
