Zähler;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
166;27.386;45.871;;4.691;0.326
167;27.385;45.906;;4.694;0.326
168;27.4;45.895;;4.692;0.284
169;27.412;45.932;;4.694;0.291
170;27.419;45.866;;4.69;0.357
171;27.429;45.893;;4.692;0.326
172;27.153;45.925;;4.685;0.321
173;27.426;45.894;;4.688;0.275
174;27.438;45.936;;4.694;0.296
175;27.454;45.918;;4.678;0.333
176;27.412;45.94;;4.693;0.286
177;27.399;45.884;;4.691;0.376
178;27.415;45.91;;4.688;0.291
179;27.396;45.877;;4.691;0.295
180;27.408;45.924;;4.689;0.296
181;10.314;45.868;;4.698;0.545
182;27.771;45.914;;4.69;0.533
183;27.404;45.938;;4.695;0.272
184;27.44;45.913;;4.694;0.279
185;27.457;45.93;;4.697;0.542
186;27.429;45.968;;4.697;0.322
187;27.416;45.919;;4.696;0.525
188;27.391;45.922;;4.7;0.298
189;27.447;45.919;;4.695;0.316
190;27.447;45.942;;4.696;0.28
191;27.63;45.934;;4.693;0.31
192;27.412;45.96;;4.692;0.276
193;27.965;45.947;;4.697;0.262
194;27.818;45.936;;4.704;0.306
195;27.402;45.947;;4.697;0.313
196;27.423;45.947;;4.695;0.272
197;27.387;45.95;;4.697;0.28
198;27.357;45.952;;4.697;0.277
199;27.388;45.941;;4.695;0.269
200;27.414;45.947;;4.696;0.283
201;27.461;45.916;;4.686;0.306
202;27.615;45.897;;4.691;0.298
203;27.528;45.928;;4.692;0.338
204;27.47;45.956;;4.691;0.269
205;27.483;45.907;;4.689;0.32
206;27.431;45.953;;4.691;0.286
207;27.459;45.943;;4.692;0.31
208;27.458;45.925;;4.683;0.292
209;27.463;45.933;;4.692;0.249
210;27.477;45.929;;4.685;0.246
211;;45.897;;4.685;0.521
212;;45.94;;4.684;0.247
213;27.244;45.937;;4.685;0.27
214;27.564;45.917;;4.689;0.309
215;27.453;45.934;;4.683;0.289
216;27.443;45.952;;4.683;0.267
217;27.439;45.929;;4.682;0.308
218;27.419;45.928;;4.689;0.264
219;27.429;45.924;;4.68;0.257
220;27.433;45.902;;4.688;0.275
221;;45.96;;4.685;0.298
222;;45.917;;4.686;0.299
223;27.72;45.948;;4.692;0.306
224;27.533;45.914;;4.69;0.264
225;28.016;45.959;;4.684;0.297
226;27.449;45.948;;4.69;0.315
227;27.5;45.952;;4.695;0.308
228;27.386;45.927;;4.693;0.325
229;27.449;45.951;;4.693;0.309
230;26.912;45.945;;4.685;0.31
231;27.268;45.754;;4.695;0.421
232;27.47;45.787;;4.692;0.403
233;27.438;45.939;;4.698;0.291
234;27.436;45.96;;4.691;0.315
235;27.407;45.946;;4.693;0.292
236;27.41;45.957;;4.693;0.3
237;27.466;45.955;;4.703;0.3
238;27.403;45.917;;4.701;0.216
239;27.406;45.9;;4.699;0.441
240;27.417;45.927;;4.701;0.266
241;27.192;45.747;;4.669;0.334
242;26.618;45.744;;4.673;0.328
243;26.339;45.746;;4.677;0.376
244;27.923;45.941;;4.68;0.339
245;28.089;45.931;;4.675;0.305
246;27.489;45.926;;4.671;0.289
247;27.454;45.928;;4.682;0.321
248;27.463;45.927;;4.677;0.317
249;27.457;45.871;;4.682;0.27
250;27.453;45.91;;4.675;0.309
