+8,151
+8,133
+8,120
+8,118
+8,118
+8,121
+8,119
+8,116
+8,119
+8,115
+8,117
+8,117
+8,115
+8,118
+8,116
+8,116
+8,118
+8,117
+8,116
+8,119
+8,120
+8,115
+8,122
+8,119
+8,122
+8,119
+8,123
+8,122
+8,127
+8,124
+8,124
+8,127
+8,131
+8,128
+8,133
+8,131
+8,135
+8,129
+8,134
+8,134
+8,136
+8,134
+8,133
+8,135
+8,132
+8,130
+8,134
+8,135
+8,133
+8,134
+8,131
+8,130
+8,135
+8,136
+8,138
+8,139
+8,143
+8,142
+8,144
+8,151
+8,151
+8,149
+8,149
+8,144
+8,150
+8,147
+8,149
+8,146
+8,150
+8,149
+8,148
+8,153
+8,151
+8,150
+8,149
+8,149
+8,149
+8,163
+8,163
+8,164
+8,162
+8,164
+8,161
+8,165
+8,166
+8,167
+8,165
+8,167
+8,167
+8,172
+8,169
+8,165
+8,166
+8,164
+8,166
+8,167
+8,169
+8,168
+8,167
+8,167
+8,161
+8,183
+8,178
+8,178
+8,178
+8,179
+8,175
+8,177
+8,177
+8,184
+8,184
+8,179
+8,175
+8,176
+8,177
+8,176
+8,177
+8,188
+8,181
+8,178
+8,176
+8,178
+8,177
+8,179
+8,180
+8,183
