;Messzeit;Losnummer;laufenden Zähler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
;06.05.2022 11:06:03;;74;Fehler;;1;27.437;45.844;;4.707;0.419
;06.05.2022 11:06:40;;75;Fehler;;1;27.509;45.86;;4.706;0.441
;06.05.2022 11:07:13;;76;Fehler;;1;27.391;45.868;;4.707;0.459
;06.05.2022 11:07:49;;77;Fehler;;1;27.462;45.964;;4.709;0.352
;06.05.2022 11:08:23;;78;Fehler;;1;27.386;45.934;;4.706;0.353
;06.05.2022 11:09:30;;79;Fehler;;1;27.368;45.861;;4.692;0.228
;06.05.2022 11:10:06;;80;Fehler;;1;;45.895;;4.693;0.508
;06.05.2022 11:10:39;;81;Fehler;;1;;45.832;;4.693;0.551
;06.05.2022 11:11:05;;82;Fehler;;1;28.15;45.903;;4.688;0.349
;06.05.2022 11:11:32;;83;Fehler;;1;27.661;45.92;;4.69;0.252
;06.05.2022 11:12:03;;84;Fehler;;1;27.508;45.923;;4.689;0.258
;06.05.2022 11:12:33;;85;Fehler;;1;27.414;45.932;;4.695;0.262
;06.05.2022 11:13:04;;86;Fehler;;1;27.489;45.949;;4.689;0.225
;06.05.2022 11:13:37;;87;Fehler;;1;27.5;45.954;;4.696;0.224
;06.05.2022 11:14:12;;88;Fehler;;1;27.551;45.95;;4.697;0.256
;06.05.2022 11:14:47;;89;Fehler;;1;27.509;45.947;;4.703;0.255
;06.05.2022 11:15:21;;90;Fehler;;1;27.544;45.937;;4.705;0.322
;06.05.2022 11:16:37;;91;Fehler;;1;27.362;45.826;;4.704;0.302
;06.05.2022 11:17:24;;92;Fehler;;1;25.835;45.926;;4.607;0.522
;06.05.2022 11:17:54;;93;Fehler;;1;;45.937;;4.67;0.173
;06.05.2022 11:18:28;;94;Fehler;;1;27.532;45.947;;4.69;0.217
;06.05.2022 11:19:02;;95;Fehler;;1;27.52;45.946;;4.672;0.192
;06.05.2022 11:19:36;;96;Fehler;;1;27.484;45.948;;4.683;0.199
;06.05.2022 11:20:12;;97;Fehler;;1;27.458;45.929;;4.693;0.173
;06.05.2022 11:20:45;;98;Fehler;;1;27.436;45.945;;4.695;0.19
;06.05.2022 11:21:19;;99;Fehler;;1;27.482;45.95;;4.699;0.208
;06.05.2022 11:21:54;;100;Fehler;;1;28.018;45.948;;4.705;0.2
;06.05.2022 11:22:30;;101;Fehler;;1;27.535;45.933;;4.707;0.21
;06.05.2022 11:23:04;;102;Fehler;;1;27.474;45.95;;4.706;0.218
;06.05.2022 11:23:39;;103;Fehler;;1;27.513;45.945;;4.709;0.229
;06.05.2022 11:25:04;;104;Fehler;;1;27.405;45.703;;4.689;0.302
;06.05.2022 11:25:45;;105;Fehler;;1;28.144;45.939;;4.679;0.2
;06.05.2022 11:26:13;;106;Fehler;;1;27.243;45.93;;4.679;0.209
;06.05.2022 11:26:49;;107;Fehler;;1;28.064;45.943;;4.686;0.278
;06.05.2022 11:27:26;;108;Fehler;;1;27.603;45.949;;4.661;0.219
;06.05.2022 11:27:58;;109;Fehler;;1;27.631;45.925;;4.689;0.263
;06.05.2022 11:28:33;;110;Fehler;;1;27.576;45.942;;4.69;0.247
;06.05.2022 11:29:11;;111;Fehler;;1;27.654;45.931;;4.688;0.233
;06.05.2022 11:30:03;;112;Fehler;;1;27.548;45.84;;4.689;0.224
;06.05.2022 11:30:49;;113;Fehler;;1;28.099;45.918;;4.682;0.334
;06.05.2022 11:31:23;;114;Fehler;;1;21.044;45.911;;4.685;0.248
;06.05.2022 11:31:37;;115;Fehler;;1;85.164;45.884;;4.683;0.243
;06.05.2022 11:32:04;;116;Fehler;;1;27.715;45.914;;4.686;0.244
;06.05.2022 11:32:26;;117;Fehler;;1;27.718;45.937;;4.689;0.252
;06.05.2022 11:32:59;;118;Fehler;;1;27.612;45.961;;4.695;0.307
;06.05.2022 11:33:34;;119;Fehler;;1;27.649;45.951;;4.696;0.244
;06.05.2022 11:34:09;;120;Fehler;;1;27.62;45.945;;4.697;0.225
;06.05.2022 11:35:06;;121;Fehler;;1;27.508;45.867;;4.689;0.228
;06.05.2022 11:35:46;;122;Fehler;;1;28.327;45.932;;4.685;0.272
;06.05.2022 11:36:24;;123;Fehler;;1;27.574;45.913;;4.69;0.518
;06.05.2022 11:36:55;;124;Fehler;;1;27.604;45.931;;4.694;0.262
;06.05.2022 11:37:26;;125;Fehler;;1;27.63;45.931;;4.688;0.235
;06.05.2022 11:38:02;;126;Fehler;;1;27.62;45.944;;4.689;0.248
;06.05.2022 11:38:36;;127;Fehler;;1;27.586;45.945;;4.69;0.254
;06.05.2022 11:39:12;;128;Fehler;;1;27.527;45.947;;4.688;0.24
;06.05.2022 11:39:46;;129;Fehler;;1;27.59;45.947;;4.695;0.234
;06.05.2022 11:40:44;;130;Fehler;;1;27.388;45.857;;4.695;0.222
