;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;06.05.2022 10:34:59;;0022;Fehler;;1;27,466;45,891;;4,663;0,301
;06.05.2022 10:35:43;;0023;Fehler;;1;27,413;45,900;;4,695;0,264
;06.05.2022 10:36:06;;0024;Fehler;;1;27,462;45,854;;4,682;0,320
;06.05.2022 10:36:43;;0025;Fehler;;1;27,368;45,907;;4,695;0,275
;06.05.2022 10:37:19;;0026;Fehler;;1;27,457;45,912;;4,681;0,272
;06.05.2022 10:38:33;;0027;Fehler;;1;27,343;45,845;;4,688;0,265
;06.05.2022 10:38:49;;0028;Fehler;;1;27,432;45,811;;;0,339
;06.05.2022 10:39:14;;0029;Fehler;;1;27,451;45,912;;4,685;0,277
;06.05.2022 10:39:45;;0030;Fehler;;1;27,431;45,915;;4,695;0,286
;06.05.2022 10:40:19;;0031;Fehler;;1;27,478;45,918;;4,678;0,268
;06.05.2022 10:41:43;;0032;Fehler;;1;27,434;45,838;;4,681;0,248
;06.05.2022 10:42:05;;0033;Fehler;;1;27,363;45,763;;4,696;0,274
;06.05.2022 10:43:06;;0034;Fehler;;1;27,448;45,896;;4,678;0,266
;06.05.2022 10:43:24;;0035;Fehler;;1;27,447;45,793;;4,679;0,295
;06.05.2022 10:43:48;;0036;Fehler;;1;27,432;45,896;;4,683;0,307
;06.05.2022 10:44:27;;0037;Fehler;;1;27,378;45,878;;4,697;0,296
;06.05.2022 10:44:59;;0038;Fehler;;1;27,473;45,904;;4,687;0,257
;06.05.2022 10:45:36;;0039;Fehler;;1;27,437;45,914;;4,688;0,290
;06.05.2022 10:46:15;;0040;Fehler;;1;27,458;45,910;;4,691;0,304
;06.05.2022 10:46:48;;0041;Fehler;;1;27,394;45,881;;4,701;0,244
;06.05.2022 10:47:25;;0042;Fehler;;1;27,456;45,901;;4,691;0,261
;06.05.2022 10:48:00;;0043;Fehler;;1;27,463;45,881;;4,688;0,279
;06.05.2022 10:48:35;;0044;Fehler;;1;27,508;45,919;;4,699;0,272
;06.05.2022 10:49:10;;0045;Fehler;;1;27,449;45,880;;4,690;0,286
;06.05.2022 10:50:06;;0046;Fehler;;1;27,519;45,921;;4,699;0,264
;06.05.2022 10:50:40;;0047;Fehler;;1;27,435;45,874;;4,689;0,285
;06.05.2022 10:51:15;;0048;Fehler;;1;27,387;45,869;;4,697;0,269
;06.05.2022 10:51:52;;0049;Fehler;;1;27,466;45,874;;4,689;0,288
;06.05.2022 10:52:25;;0050;Fehler;;1;27,341;45,901;;4,696;0,258
;06.05.2022 10:53:01;;0051;Fehler;;1;27,458;45,875;;4,689;0,321
;06.05.2022 10:53:35;;0052;Fehler;;1;27,472;45,919;;4,689;0,293
;06.05.2022 10:54:11;;0053;Fehler;;1;27,368;45,910;;4,709;0,296
;06.05.2022 10:54:52;;0054;Fehler;;1;27,437;45,894;;4,693;0,289
;06.05.2022 10:55:24;;0055;Fehler;;1;27,438;45,886;;4,702;0,271
;06.05.2022 10:56:00;;0056;Fehler;;1;27,475;45,906;;4,694;0,559
;06.05.2022 10:56:40;;0057;Fehler;;1;27,429;45,857;;4,705;0,424
;06.05.2022 10:57:21;;0058;Fehler;;1;27,940;45,894;;4,694;0,331
;06.05.2022 10:58:24;;0059;Fehler;;1;27,575;45,822;;4,702;0,375
;06.05.2022 10:59:00;;0060;Fehler;;1;29,860;45,942;;4,678;0,280
;06.05.2022 10:59:22;;0061;Fehler;;1;31,933;45,785;;4,682;0,364
;06.05.2022 10:59:37;;0062;Fehler;;1;27,483;45,903;;4,666;0,271
