Zyklusnummer;Charge;Düsentemperatur;Werkzeugtemperatur;Einspritzgeschwindigkeit;Umschaltpunkt;Nachdruckhöhe;Nachdruckzeit;Staudruck;Kühlzeit;Gewicht;OK/N.i.O.;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Datum;Messzeit
647;65;250;45;32;13,5;550;4;50;17,5;7,998;---;27,578;46,012;5,298;4,714;0,259;05.10.2021;19:22:00
648;65;250;45;32;13,5;550;4;50;17,5;8;---;27,573;46,011;5,31;4,703;0,206;05.10.2021;19:22:00
649;65;250;45;32;13,5;550;4;50;17,5;8;---;27,554;46,029;5,301;4,702;0,182;05.10.2021;19:23:00
650;65;250;45;32;13,5;550;4;50;17,5;8,003;---;27,563;46,009;5,307;4,699;0,257;05.10.2021;19:24:00
651;65;250;45;32;13,5;550;4;50;17,5;8,002;---;27,559;46,031;5,299;4,699;0,152;05.10.2021;19:24:00
652;65;250;45;32;13,5;550;4;50;17,5;8,007;---;27,541;45,852;5,312;4,699;0,426;05.10.2021;19:25:00
653;66;250;50;16;13;600;5;25;15;8,074;---;27,648;46,002;5,212;4,58;0,242;06.10.2021;10:15:19
654;66;250;50;16;13;600;5;25;15;8,066;---;27,758;46,013;5,212;4,738;0,184;06.10.2021;10:15:54
655;66;250;50;16;13;600;5;25;15;8,063;---;27,829;46,028;5,383;4,843;0,198;06.10.2021;10:17:00
656;66;250;50;16;13;600;5;25;15;8,044;---;27,736;46,011;5,374;4,877;0,244;06.10.2021;10:17:36
657;66;250;50;16;13;600;5;25;15;8,039;---;27,714;46,022;5,393;4,907;0,195;06.10.2021;10:18:10
658;66;250;50;16;13;600;5;25;15;8,033;---;27,67;46,01;5,418;4,901;0,233;06.10.2021;10:18:46
659;66;250;50;16;13;600;5;25;15;8,033;---;27,646;45,992;5,398;4,886;0,244;06.10.2021;10:19:22
660;66;250;50;16;13;600;5;25;15;8,029;---;27,608;45,999;5,379;4,861;0,154;06.10.2021;10:19:58
661;66;250;50;16;13;600;5;25;15;8,03;Fehler;27,571;45,974;0,805;;0,166;06.10.2021;10:20:37
662;66;250;50;16;13;600;5;25;15;8,031;---;27,572;45,985;5,353;4,84;0,166;06.10.2021;10:21:14
663;67;250;50;16;14;600;3;75;15;8,033;---;27,524;45,984;5,229;4,668;0,178;06.10.2021;10:24:04
664;67;250;50;16;14;600;3;75;15;8,021;---;27,467;46,002;5,261;4,69;0,207;06.10.2021;10:24:37
665;67;250;50;16;14;600;3;75;15;8,017;---;27,49;45,994;5,266;4,754;0,213;06.10.2021;10:25:11
666;67;250;50;16;14;600;3;75;15;7,996;---;27,463;45,987;5,248;4,74;0,191;06.10.2021;10:25:44
667;67;250;50;16;14;600;3;75;15;7,993;---;27,445;45,967;5,235;4,757;0,237;06.10.2021;10:26:18
668;67;250;50;16;14;600;3;75;15;8,007;---;27,433;45,969;5,223;4,755;0,199;06.10.2021;10:26:51
669;67;250;50;16;14;600;3;75;15;8,008;---;27,427;45,953;5,213;4,76;0,197;06.10.2021;10:27:26
670;67;250;50;16;14;600;3;75;15;8,007;---;27,425;45,961;5,215;4,759;0,123;06.10.2021;10:28:00
671;67;250;50;16;14;600;3;75;15;8,005;---;27,426;45,956;5,208;4,753;0,212;06.10.2021;10:28:33
672;67;250;50;16;14;600;3;75;15;8,004;---;27,419;45,962;5,202;4,754;0,262;06.10.2021;10:29:08
673;68;250;50;48;13;600;5;75;20;8,027;---;27,612;46,062;5,137;4;0,165;06.10.2021;10:30:56
674;68;250;50;48;13;600;5;75;20;8,035;---;27,734;46,1;5,405;4,694;0,257;06.10.2021;10:31:37
675;68;250;50;48;13;600;5;75;20;8,034;---;27,819;46,094;5,271;4,698;0,354;06.10.2021;10:32:18
676;68;250;50;48;13;600;5;75;20;8,037;---;27,839;46,088;5,366;4,729;0,229;06.10.2021;10:32:57
677;68;250;50;48;13;600;5;75;20;8,035;---;27,795;46,085;5,344;4,696;0,371;06.10.2021;10:33:39
678;68;250;50;48;13;600;5;75;20;8,039;---;27,774;46,065;5,343;4,697;0,239;06.10.2021;10:34:17
679;68;250;50;48;13;600;5;75;20;8,041;---;27,774;46,081;5,34;4,699;0,234;06.10.2021;10:34:57
680;68;250;50;48;13;600;5;75;20;8,042;---;27,771;46,074;5,359;4,704;0,232;06.10.2021;10:36:18
681;68;250;50;48;13;600;5;75;20;8,041;---;27,752;46,079;5,343;4,693;0,241;06.10.2021;10:36:58
682;68;250;50;48;13;600;5;75;20;8,043;---;27,723;45,98;5,314;4,695;0,447;06.10.2021;10:37:18
683;69;250;50;48;14;500;3;75;15;8,04;---;27,73;45,993;5,32;4,59;0,181;06.10.2021;10:39:13
684;69;250;50;48;14;500;3;75;15;8,03;---;27,777;46,01;5,248;4,652;0,207;06.10.2021;10:39:47
685;69;250;50;48;14;500;3;75;15;8,024;---;27,756;46,016;5,304;4,667;0,295;06.10.2021;10:40:20
686;69;250;50;48;14;500;3;75;15;8,02;---;27,712;45,999;5,376;4,696;0,192;06.10.2021;10:40:52
687;69;250;50;48;14;500;3;75;15;8,013;---;27,662;45,987;5,37;4,684;0,217;06.10.2021;10:41:25
688;69;250;50;48;14;500;3;75;15;8,013;---;27,641;45,997;5,365;4,675;0,135;06.10.2021;10:41:58
689;69;250;50;48;14;500;3;75;15;8,012;---;27,623;45,952;5,354;4,691;0,188;06.10.2021;10:42:37
690;69;250;50;48;14;500;3;75;15;8,01;---;27,608;45,989;5,349;4,67;0,18;06.10.2021;10:43:04
691;69;250;50;48;14;500;3;75;15;8,011;---;27,595;45,982;5,344;4,673;0,188;06.10.2021;10:43:36
692;69;250;50;48;14;500;3;75;15;8,009;---;27,589;45,966;5,334;4,672;0,164;06.10.2021;10:44:10
693;70;250;50;48;13;500;3;25;20;8,049;---;27,696;46,068;5,176;4,642;0,225;06.10.2021;10:46:51
694;70;250;50;48;13;500;3;25;20;8,035;---;27,782;46,061;5,335;4,681;0,229;06.10.2021;10:47:27
695;70;250;50;48;13;500;3;25;20;8,041;---;27,84;46,101;5,292;4,728;0,447;06.10.2021;10:48:06
696;70;250;50;48;13;500;3;25;20;8,031;---;27,835;46,092;5,328;4,693;0,254;06.10.2021;10:48:47
697;70;250;50;48;13;500;3;25;20;8,04;---;27,823;46,086;5,326;4,999;0,259;06.10.2021;10:49:22
698;70;250;50;48;13;500;3;25;20;8,039;---;27,776;46,086;5,339;4,702;0,254;06.10.2021;10:49:59
699;70;250;50;48;13;500;3;25;20;8,037;---;27,779;46,089;5,361;4,702;0,331;06.10.2021;10:50:36
700;70;250;50;48;13;500;3;25;20;8,037;---;27,767;46,095;5,35;4,722;0,239;06.10.2021;10:51:14
701;70;250;50;48;13;500;3;25;20;8,037;---;27,76;46,085;5,361;4,696;0,199;06.10.2021;10:51:53
702;70;250;50;48;13;500;3;25;20;8,038;---;27,76;46,073;5,348;4,696;0,232;06.10.2021;10:52:31
703;71;250;50;16;13;600;3;75;20;8,061;---;27,764;46,045;5,216;3,858;0,164;06.10.2021;10:54:26
704;71;250;50;16;13;600;3;75;20;8,071;---;27,775;46,061;5,081;5,148;0,233;06.10.2021;10:55:06
705;71;250;50;16;13;600;3;75;20;8,062;---;27,843;46,055;5,202;5,062;0,182;06.10.2021;10:55:44
706;71;250;50;16;13;600;3;75;20;8,061;---;27,82;46,062;5,269;5,087;0,255;06.10.2021;10:56:23
707;71;250;50;16;13;600;3;75;20;8,06;---;27,766;46,058;5,343;5,094;0,208;06.10.2021;10:57:01
708;71;250;50;16;13;600;3;75;20;8,058;---;27,728;46,053;5,373;5,054;0,182;06.10.2021;10:57:39
709;71;250;50;16;13;600;3;75;20;8,058;---;27,725;46,049;5,348;5,076;0,163;06.10.2021;10:58:18
710;71;250;50;16;13;600;3;75;20;8,06;---;27,722;46,04;5,362;5,078;0,21;06.10.2021;10:58:58
711;71;250;50;16;13;600;3;75;20;8,056;---;27,72;46,061;5,363;5,059;0,234;06.10.2021;10:59:35
712;71;250;50;16;13;600;3;75;20;8,056;---;27,721;46,06;5,361;5,063;0,185;06.10.2021;11:00:14
713;72;250;50;16;13;500;3;25;15;8,096;---;27,695;46,07;5,235;5,008;0,216;06.10.2021;11:06:27
714;72;250;50;16;13;500;3;25;15;8,072;---;27,768;46,074;5,263;5,027;0,177;06.10.2021;11:07:00
715;72;250;50;16;13;500;3;25;15;8,065;---;27,797;46,063;5,289;5,048;0,189;06.10.2021;11:07:33
716;72;250;50;16;13;500;3;25;15;8,061;---;27,793;46,056;5,349;5,034;0,207;06.10.2021;11:08:07
717;72;250;50;16;13;500;3;25;15;8,06;---;27,74;46,061;5,373;5,043;0,174;06.10.2021;11:08:41
718;72;250;50;16;13;500;3;25;15;8,059;---;27,714;46,041;5,377;5,047;0,189;06.10.2021;11:09:14
719;72;250;50;16;13;500;3;25;15;8,056;---;27,718;46,061;5,392;5,046;0,158;06.10.2021;11:09:48
720;72;250;50;16;13;500;3;25;15;8,055;---;27,71;46,07;5,367;5,045;0,274;06.10.2021;11:10:54
721;72;250;50;16;13;500;3;25;15;8,054;---;27,708;46,076;5,37;5,049;0,23;06.10.2021;11:11:27
722;72;250;50;16;13;500;3;25;15;8,057;---;27,67;45,952;5,358;5,044;0,267;06.10.2021;11:12:49
723;73;250;50;16;14;500;3;75;15;8,058;---;27,639;46,024;5,199;4,682;0,269;06.10.2021;11:14:12
724;73;250;50;16;14;500;3;75;15;8,04;---;27,622;45,993;5,245;4,781;0,212;06.10.2021;11:14:48
725;73;250;50;16;14;500;3;75;15;8,036;---;27,616;45,996;5,283;4,788;0,22;06.10.2021;11:15:20
726;73;250;50;16;14;500;3;75;15;8,034;---;27,578;45,997;5,307;4,796;0,159;06.10.2021;11:15:53
727;73;250;50;16;14;500;3;75;15;8,027;---;27,531;45,981;5,325;4,79;0,182;06.10.2021;11:16:25
728;73;250;50;16;14;500;3;75;15;8,032;---;27,507;45,967;5,318;4,792;0,189;06.10.2021;11:17:00
729;73;250;50;16;14;500;3;75;15;8,032;---;27,497;45,971;5,309;4,789;0,128;06.10.2021;11:17:33
730;73;250;50;16;14;500;3;75;15;8,03;---;27,489;45,975;5,295;4,79;0,136;06.10.2021;11:18:06
731;73;250;50;16;14;500;3;75;15;8,029;---;27,474;45,93;5,288;4,788;0,236;06.10.2021;11:18:46
732;73;250;50;16;14;500;3;75;15;8,029;---;27,446;45,911;5,277;4,781;0,199;06.10.2021;11:19:28
733;74;250;50;48;14;500;3;25;15;8,018;Fehler;27,484;46,021;5,319;;0,211;06.10.2021;11:21:13
734;74;250;50;48;14;500;3;25;15;8,042;---;27,706;46,008;5,178;4,678;0,182;06.10.2021;11:21:45
735;74;250;50;48;14;500;3;25;15;8,035;---;27,746;46;5,337;4,695;0,193;06.10.2021;11:22:18
736;74;250;50;48;14;500;3;25;15;8,029;---;27,724;46,004;5,338;4,771;0,174;06.10.2021;11:22:51
737;74;250;50;48;14;500;3;25;15;8,024;---;27,694;45,993;5,378;4,702;0,174;06.10.2021;11:23:23
738;74;250;50;48;14;500;3;25;15;8,026;---;27,675;45,992;5,377;4,678;0,145;06.10.2021;11:23:56
739;74;250;50;48;14;500;3;25;15;8,02;---;27,651;45,987;5,379;4,68;0,112;06.10.2021;11:24:30
740;74;250;50;48;14;500;3;25;15;8,02;---;27,645;45,985;5,372;4,672;0,149;06.10.2021;11:25:03
741;74;250;50;48;14;500;3;25;15;8,022;---;27,635;45,973;5,373;4,674;0,184;06.10.2021;11:25:37
742;74;250;50;48;14;500;3;25;15;8,02;---;27,626;45,978;5,363;4,67;0,141;06.10.2021;11:26:10
743;75;250;50;48;13;600;3;25;15;8,053;---;27,555;46,101;5,168;4,584;0,276;06.10.2021;11:28:00
744;75;250;50;48;13;600;3;25;15;8,053;---;27,587;46,073;5,349;4,711;0,227;06.10.2021;11:28:34
745;75;250;50;48;13;600;3;25;15;8,048;---;27,768;46,087;5,264;4,842;0,321;06.10.2021;11:29:07
746;75;250;50;48;13;600;3;25;15;8,043;---;27,846;46,109;5,327;4,704;0,486;06.10.2021;11:29:39
747;75;250;50;48;13;600;3;25;15;8,039;---;27,802;46,109;5,328;4,721;0,252;06.10.2021;11:30:13
748;75;250;50;48;13;600;3;25;15;8,04;---;27,773;46,094;5,335;4,703;0,238;06.10.2021;11:30:45
749;75;250;50;48;13;600;3;25;15;8,041;---;27,756;46,099;5,341;4,703;0,364;06.10.2021;11:31:19
750;75;250;50;48;13;600;3;25;15;8,04;---;27,763;46,106;5,339;4,707;0,237;06.10.2021;11:31:50
751;75;250;50;48;13;600;3;25;15;8,041;---;27,753;46,105;5,342;4,707;0,218;06.10.2021;11:32:26
752;75;250;50;48;13;600;3;25;15;8,041;---;27,754;46,104;5,344;4,71;0,214;06.10.2021;11:32:57
753;76;250;50;48;13;500;3;75;20;8,05;---;27,439;46,033;5,166;4,675;0,316;06.10.2021;13:01:37
754;76;250;50;48;13;500;3;75;20;8,047;---;27,704;46,103;5,235;4,679;0,334;06.10.2021;13:02:17
755;76;250;50;48;13;500;3;75;20;8,033;---;27,793;46,107;5,308;4,694;0,222;06.10.2021;13:02:55
756;76;250;50;48;13;500;3;75;20;8,036;---;27,84;46,113;5,317;4,701;0,236;06.10.2021;13:03:32
757;76;250;50;48;13;500;3;75;20;8,039;---;27,823;46,079;5,33;4,763;0,238;06.10.2021;13:04:10
758;76;250;50;48;13;500;3;75;20;8,041;---;27,778;46,046;5,341;4,805;0,218;06.10.2021;13:04:49
759;76;250;50;48;13;500;3;75;20;8,039;---;27,771;46,096;5,358;4,691;0,275;06.10.2021;13:05:26
760;76;250;50;48;13;500;3;75;20;8,038;---;27,76;46,054;5,355;4,692;0,277;06.10.2021;13:06:46
761;76;250;50;48;13;500;3;75;20;8,037;---;27,772;46,107;5,363;4,699;0,313;06.10.2021;13:07:21
762;76;250;50;48;13;500;3;75;20;8,055;---;27,739;46,017;5,357;4,694;0,365;06.10.2021;13:08:05
763;77;250;50;48;13;600;3;75;15;8,044;---;27,677;46,078;5,252;4,646;0,206;06.10.2021;13:31:52
764;77;250;50;48;13;600;3;75;15;8,038;---;27,703;46,048;5,286;4,681;0,358;06.10.2021;13:32:48
765;77;250;50;48;13;600;3;75;15;8,071;---;27,757;46,058;5,309;4,702;0,4;06.10.2021;13:33:10
766;77;250;50;48;13;600;3;75;15;0,008;---;27,853;46,09;5,313;4,751;0,3;06.10.2021;13:36:34
767;77;250;50;48;13;600;3;75;15;8,054;---;27,812;46,104;5,337;4,711;0,29;06.10.2021;13:37:09
768;77;250;50;48;13;600;3;75;15;8,055;---;27,79;46,057;5,349;4,698;0,393;06.10.2021;13:37:53
769;77;250;50;48;13;600;3;75;15;8,053;---;27,773;46,104;5,363;4,711;0,23;06.10.2021;13:38:30
770;77;250;50;48;13;600;3;75;15;8,056;---;27,763;46,084;5,354;4,711;0,38;06.10.2021;13:39:07
771;77;250;50;48;13;600;3;75;15;8,056;---;27,761;46,096;5,357;4,708;0,238;06.10.2021;13:39:45
772;77;250;50;48;13;600;3;75;15;8,098;---;27,77;46,107;5,359;4,712;0,218;06.10.2021;13:40:28
773;78;250;50;16;13;600;3;25;15;8,08;---;27,624;46,068;5,233;4,863;0,182;06.10.2021;13:44:33
774;78;250;50;16;13;600;3;25;15;8,071;---;27,668;46,067;5,297;5,035;0,216;06.10.2021;13:45:07
775;78;250;50;16;13;600;3;25;15;8,072;---;27,813;46,069;5,341;5,069;0,244;06.10.2021;13:45:40
776;78;250;50;16;13;600;3;25;15;8,07;---;27,808;46,056;5,355;5,063;0,213;06.10.2021;13:46:14
777;78;250;50;16;13;600;3;25;15;8,076;---;27,769;46,054;5,318;5,046;0,203;06.10.2021;13:46:48
778;78;250;50;16;13;600;3;25;15;8,073;---;27,75;46,069;5,331;5,088;0,217;06.10.2021;13:47:21
779;78;250;50;16;13;600;3;25;15;8,065;---;27,746;46,07;5,357;5,118;0,165;06.10.2021;13:47:53
780;78;250;50;16;13;600;3;25;15;8,065;---;27,733;46,057;5,361;5,104;0,159;06.10.2021;13:48:28
781;78;250;50;16;13;600;3;25;15;8,065;---;27,725;46,046;5,373;5,098;0,204;06.10.2021;13:49:04
782;78;250;50;16;13;600;3;25;15;8,085;---;27,713;46,045;5,339;5,106;0,182;06.10.2021;13:49:37
783;79;250;50;16;13;600;5;75;20;8,092;Fehler;27,699;46,098;5,194;;0,203;06.10.2021;13:57:25
784;79;250;50;16;13;600;5;75;20;8,086;---;27,73;46,08;5,147;5,202;0,213;06.10.2021;13:58:00
785;79;250;50;16;13;600;5;75;20;8,085;---;27,768;46,099;5,255;5,144;0,244;06.10.2021;13:58:42
786;79;250;50;16;13;600;5;75;20;8,083;---;27,804;46,043;5,284;5,135;0,185;06.10.2021;13:59:34
787;79;250;50;16;13;600;5;75;20;8,077;Fehler;27,792;46,045;;;0,29;06.10.2021;14:00:02
788;79;250;50;16;13;600;5;75;20;8,074;---;27,751;46,07;5,32;5,091;0,23;06.10.2021;14:00:44
789;79;250;50;16;13;600;5;75;20;8,078;---;27,748;46,071;5,366;5,137;0,221;06.10.2021;14:01:23
790;79;250;50;16;13;600;5;75;20;8,074;---;27,745;46,079;5,347;5,156;0,163;06.10.2021;14:02:04
791;79;250;50;16;13;600;5;75;20;8,075;---;27,728;46,058;5,34;5,137;0,162;06.10.2021;14:02:45
792;79;250;50;16;13;600;5;75;20;8,063;---;27,733;46,069;5,337;5,133;0,163;06.10.2021;14:03:25
793;80;250;50;48;13;600;3;25;20;8,065;---;27,499;46,125;5,114;4,618;0,248;06.10.2021;14:06:07
794;80;250;50;48;13;600;3;25;20;8,059;---;27,677;46,081;5,362;4,93;0,26;06.10.2021;14:06:45
795;80;250;50;48;13;600;3;25;20;8,059;---;27,796;46,111;5,247;4,868;0,242;06.10.2021;14:07:25
796;80;250;50;48;13;600;3;25;20;8,053;---;27,875;46,12;5,262;4,901;0,387;06.10.2021;14:08:00
797;80;250;50;48;13;600;3;25;20;8,051;---;27,818;46,106;5,308;4,734;0,362;06.10.2021;14:08:40
798;80;250;50;48;13;600;3;25;20;8,046;---;27,784;46,117;5,333;4,74;0,254;06.10.2021;14:09:18
799;80;250;50;48;13;600;3;25;20;8,052;---;27,788;46,11;5,332;4,738;0,218;06.10.2021;14:09:54
800;80;250;50;48;13;600;3;25;20;8,049;---;27,777;46,115;5,342;4,727;0,233;06.10.2021;14:10:31
801;80;250;50;48;13;600;3;25;20;8,05;---;27,771;46,114;5,363;4,72;0,227;06.10.2021;14:11:11
802;80;250;50;48;13;600;3;25;20;8,061;---;27,774;46,12;5,344;4,723;0,197;06.10.2021;14:11:47
803;81;250;50;16;14;600;5;75;15;8,046;---;27,59;46,017;5,188;4,659;0,198;06.10.2021;14:13:46
804;81;250;50;16;14;600;5;75;15;8,039;---;27,64;46,006;5,266;4,804;0,167;06.10.2021;14:14:23
805;81;250;50;16;14;600;5;75;15;8,036;---;27,632;45,987;5,293;4,804;0,224;06.10.2021;14:14:58
806;81;250;50;16;14;600;5;75;15;8,038;---;27,594;45,991;5,325;4,804;0,164;06.10.2021;14:15:33
807;81;250;50;16;14;600;5;75;15;8,034;---;27,549;45,981;5,333;4,801;0,186;06.10.2021;14:16:08
808;81;250;50;16;14;600;5;75;15;8,036;---;27,524;45,934;5,319;4,799;0,187;06.10.2021;14:16:57
809;81;250;50;16;14;600;5;75;15;8,033;---;27,52;45,982;5,31;4,8;0,162;06.10.2021;14:17:19
810;81;250;50;16;14;600;5;75;15;8,035;---;27,497;45,962;5,297;4,795;0,178;06.10.2021;14:17:55
811;81;250;50;16;14;600;5;75;15;8,036;---;27,502;45,979;5,298;4,799;0,219;06.10.2021;14:18:32
812;81;250;50;16;14;600;5;75;15;8,051;---;27,492;45,956;5,293;4,795;0,158;06.10.2021;14:19:07
813;82;250;50;48;14;600;5;75;20;8,043;---;27,616;46,018;5,235;4,602;0,174;06.10.2021;14:21:04
814;82;250;50;48;14;600;5;75;20;8,039;---;27,741;46,03;5,466;4,661;0,219;06.10.2021;14:21:42
815;82;250;50;48;14;600;5;75;20;8,035;---;27,815;46,019;5,33;4,689;0,205;06.10.2021;14:22:25
816;82;250;50;48;14;600;5;75;20;8,03;---;27,747;46,013;5,341;4,666;0,153;06.10.2021;14:23:04
817;82;250;50;48;14;600;5;75;20;8,029;---;27,726;46,008;5,357;4,671;0,148;06.10.2021;14:23:44
818;82;250;50;48;14;600;5;75;20;8,03;---;27,715;46,001;5,378;4,667;0,2;06.10.2021;14:24:22
819;82;250;50;48;14;600;5;75;20;8,029;---;27,708;46,012;5,373;4,67;0,135;06.10.2021;14:25:01
820;82;250;50;48;14;600;5;75;20;8,027;---;27,677;46,003;5,376;4,664;0,141;06.10.2021;14:25:42
821;82;250;50;48;14;600;5;75;20;8,027;---;27,685;46;5,375;4,66;0,148;06.10.2021;14:26:22
822;82;250;50;48;14;600;5;75;20;8,072;---;27,66;46,004;5,373;4,668;0,128;06.10.2021;14:27:02
823;83;250;50;48;13;500;5;75;20;8,052;---;27,584;46,047;5,307;4,695;0,307;06.10.2021;14:29:32
824;83;250;50;48;13;500;5;75;20;8,043;---;27,764;46,08;5,323;4,703;0,247;06.10.2021;14:29:58
825;83;250;50;48;13;500;5;75;20;8,048;---;27,896;46,101;5,337;4,704;0,28;06.10.2021;14:30:38
826;83;250;50;48;13;500;5;75;20;8,051;---;27,854;46,123;5,344;4,707;0,265;06.10.2021;14:31:17
827;83;250;50;48;13;500;5;75;20;8,053;---;27,832;46,118;5,319;4,72;0,265;06.10.2021;14:31:57
828;83;250;50;48;13;500;5;75;20;8,051;---;27,808;46,106;5,331;4,718;0,232;06.10.2021;14:32:37
829;83;250;50;48;13;500;5;75;20;8,05;---;27,785;46,12;5,331;4,71;0,2;06.10.2021;14:33:18
830;83;250;50;48;13;500;5;75;20;8,05;---;27,78;46,106;5,354;4,708;0,412;06.10.2021;14:34:01
831;83;250;50;48;13;500;5;75;20;8,047;---;27,764;46,121;5,354;4,712;0,214;06.10.2021;14:34:42
832;83;250;50;48;13;500;5;75;20;8,078;---;27,773;46,104;5,348;4,703;0,249;06.10.2021;14:35:17
833;84;250;50;16;13;500;3;75;20;8,077;---;27,67;46,062;5,195;4,505;0,165;06.10.2021;14:37:16
834;84;250;50;16;13;500;3;75;20;8,072;---;27,738;46,066;5,251;5,07;0,193;06.10.2021;14:37:54
835;84;250;50;16;13;500;3;75;20;8,065;---;27,735;46,058;5,28;5,081;0,284;06.10.2021;14:38:33
836;84;250;50;16;13;500;3;75;20;8,065;---;27,826;46,073;5,356;5,074;0,248;06.10.2021;14:39:13
837;84;250;50;16;13;500;3;75;20;8,065;---;27,768;46,035;5,337;5,085;0,283;06.10.2021;14:39:56
838;84;250;50;16;13;500;3;75;20;8,061;---;27,757;46,049;5,34;5,122;0,187;06.10.2021;14:40:29
839;84;250;50;16;13;500;3;75;20;8,062;---;27,745;46,058;5,345;5,09;0,23;06.10.2021;14:41:07
840;84;250;50;16;13;500;3;75;20;8,063;---;27,741;46,065;5,354;5,108;0,176;06.10.2021;14:41:46
841;84;250;50;16;13;500;3;75;20;8,064;---;27,697;46,014;5,342;5,097;0,176;06.10.2021;14:42:39
842;84;250;50;16;13;500;3;75;20;8,057;---;27,717;46,032;5,347;5,103;0,15;06.10.2021;14:43:09
843;85;250;50;16;14;500;3;25;15;8,043;---;27,582;46,016;5,169;4,689;0,121;06.10.2021;14:45:11
844;85;250;50;16;14;500;3;25;15;8,038;---;27,592;46;5,233;4,786;0,142;06.10.2021;14:45:46
845;85;250;50;16;14;500;3;25;15;8,035;---;27,598;45,998;5,287;4,797;0,163;06.10.2021;14:46:19
846;85;250;50;16;14;500;3;25;15;8,033;---;27,577;45,934;5,317;4,794;0,281;06.10.2021;14:47:00
847;85;250;50;16;14;500;3;25;15;8,033;---;27,542;45,997;5,339;4,797;0,137;06.10.2021;14:47:26
848;85;250;50;16;14;500;3;25;15;8,031;---;27,521;45,976;5,322;4,795;0,2;06.10.2021;14:48:00
849;85;250;50;16;14;500;3;25;15;8,03;---;27,5;45,976;5,323;4,785;0,185;06.10.2021;14:48:37
850;85;250;50;16;14;500;3;25;15;8,029;---;27,498;45,984;5,303;4,788;0,216;06.10.2021;14:49:06
851;85;250;50;16;14;500;3;25;15;8,026;---;27,495;45,952;5,298;4,791;0,212;06.10.2021;14:49:40
852;85;250;50;16;14;500;3;25;15;8,027;---;27,49;45,996;5,283;4,788;0,119;06.10.2021;14:50:12
853;86;250;50;48;14;600;3;75;20;8,042;---;27,676;46,019;5,308;4,425;0,256;06.10.2021;14:52:15
854;86;250;50;48;14;600;3;75;20;8,041;---;27,749;46,022;5,321;4,672;0,161;06.10.2021;14:52:54
855;86;250;50;48;14;600;3;75;20;8,033;---;27,793;46,005;5,303;4,661;0,132;06.10.2021;14:53:39
856;86;250;50;48;14;600;3;75;20;8,031;---;27,773;46,014;5,365;4,683;0,148;06.10.2021;14:54:07
857;86;250;50;48;14;600;3;75;20;8,03;---;27,723;45,995;5,377;4,674;0,173;06.10.2021;14:54:50
858;86;250;50;48;14;600;3;75;20;8,028;---;27,717;45,998;5,389;4,67;0,217;06.10.2021;14:55:23
859;86;250;50;48;14;600;3;75;20;8,027;---;27,704;46,003;5,379;4,669;0,153;06.10.2021;14:56:00
860;86;250;50;48;14;600;3;75;20;8,026;---;27,681;46,006;5,375;4,675;0,169;06.10.2021;14:56:38
861;86;250;50;48;14;600;3;75;20;8,028;---;27,68;45,966;5,374;4,665;0,182;06.10.2021;14:57:23
862;86;250;50;48;14;600;3;75;20;8,028;---;27,659;45,97;5,366;4,661;0,222;06.10.2021;14:58:03
863;87;250;50;48;14;500;5;25;20;8,044;---;27,685;46,031;5,35;4,071;0,185;06.10.2021;15:00:00
864;87;250;50;48;14;500;5;25;20;8,042;---;27,653;46,029;5,39;4,648;0,165;06.10.2021;15:00:38
865;87;250;50;48;14;500;5;25;20;8,036;---;27,83;46,024;5,342;4,665;0,206;06.10.2021;15:01:17
866;87;250;50;48;14;500;5;25;20;8,034;---;27,776;46,012;5,344;4,662;0,173;06.10.2021;15:01:58
867;87;250;50;48;14;500;5;25;20;8,037;---;27,742;46;5,356;4,691;0,187;06.10.2021;15:02:42
868;87;250;50;48;14;500;5;25;20;8,035;---;27,719;46,006;5,386;4,669;0,156;06.10.2021;15:03:18
869;87;250;50;48;14;500;5;25;20;8,034;---;27,709;46,009;5,375;4,671;0,166;06.10.2021;15:03:56
870;87;250;50;48;14;500;5;25;20;8,033;---;27,691;46,001;5,373;4,668;0,15;06.10.2021;15:04:36
871;87;250;50;48;14;500;5;25;20;8,031;---;27,693;46,002;5,384;4,676;0,148;06.10.2021;15:05:16
872;87;250;50;48;14;500;5;25;20;8,032;---;27,671;46,01;5,372;4,664;0,139;06.10.2021;15:05:56
873;88;250;50;16;14;600;3;25;15;8,09;---;27,628;45,914;5,378;4,97;0,19;06.10.2021;15:12:50
874;88;250;50;16;14;600;3;25;15;8,034;Fehler;27,586;46,028;5,222;;0,218;06.10.2021;15:13:27
875;88;250;50;16;14;600;3;25;15;8,065;---;27,636;45,973;5,143;4,802;0,218;06.10.2021;15:14:11
876;88;250;50;16;14;600;3;25;15;8,057;---;27,637;45,941;5,272;4,809;0,265;06.10.2021;15:14:50
877;88;250;50;16;14;600;3;25;15;8,052;---;27,63;45,987;5,385;4,814;0,208;06.10.2021;15:15:08
878;88;250;50;16;14;600;3;25;15;8,048;---;27,59;46,009;5,404;4,808;0,171;06.10.2021;15:15:40
879;88;250;50;16;14;600;3;25;15;8,046;---;27,552;46,008;5,378;4,809;0,124;06.10.2021;15:16:12
880;88;250;50;16;14;600;3;25;15;8,043;---;27,532;45,978;5,339;4,803;0,122;06.10.2021;15:16:47
